Date,Shuttle,Time,Availability,Price
23 Nov 2024,Shuttle Tebrau - 81,14:00,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 83,15:15,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 85,16:30,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 87,17:45,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 89,19:00,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 91,20:15,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 93,21:30,0,MYR 5.00
23 Nov 2024,Shuttle Tebrau - 95,22:45,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 61,05:00,297,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 63,05:30,285,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 65,06:00,260,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 67,06:30,289,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 69,07:00,279,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 71,07:30,213,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 73,08:45,2,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 75,10:00,4,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 77,11:30,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 79,12:45,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 81,14:00,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 83,15:15,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 85,16:30,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 87,17:45,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 89,19:00,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 91,20:15,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 93,21:30,0,MYR 5.00
24 Nov 2024,Shuttle Tebrau - 95,22:45,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 61,05:00,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 63,05:30,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 65,06:00,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 67,06:30,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 69,07:00,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 71,07:30,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 73,08:45,0,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 75,10:00,161,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 77,11:30,156,MYR 5.00
25 Nov 2024,Shuttle Tebrau - 79,12:45,0,MYR 5.00
